ID    A_wt_tpm    A_ko_tpm    R_wt_tpm    R_ko_tpm    p.value    log2FC_A_ko_vs_wt    log2FC_R_ko_vs_wt
4930544G11Rik    4930544G11Rik    2.18    2.15    0.116464211    0.149985381    0.556474    -0.0199822452176899    0.362187605526566
4930544M13Rik    4930544M13Rik    2.47    0.88    0.155449776    0.010912282    0.321182    -1.48788108640837    -3.71517787543807
4930545E07Rik    4930545E07Rik    1.13    0.98    0.097213034    0.0319086    0.747434    -0.205273887770581    -1.57744984694964
4930545H06Rik    4930545H06Rik    1.49    1.17    0.185772403    0.122029691    0.390555    -0.348539181782227    -0.602274775915715
4930545L23Rik    4930545L23Rik    2.1    1.07    0.176914428    0.078729674    0.744623    -0.97211768192279    -1.1579948356293
4930546C10Rik    4930546C10Rik    2.14    0.88    0.157321365    0.037561918    0.306435    -1.2810708714651    -2.03760724053678
4930546K05Rik    4930546K05Rik    21.43    21.98    0.128550178    0.178418168    0.439895    0.0365578517868714    0.469814988128539
4930547E08Rik    4930547E08Rik    1.18    1.66    0.186514949    0.184525247    0.992708    0.492043108565219    -0.0153900864336904
4930547E14Rik    4930547E14Rik    1.92    1.17    0.091371201    0.223343899    0.822323    -0.714116443164312    1.28019691956636
4930548G14Rik    4930548G14Rik    2.76    0.59    0.128948812    0.08832775    0.572322    -2.22396085241054    -0.540763115960003
4930548H24Rik    4930548H24Rik    1.73    0.78    0.343595025    0.173812384    0.724879    -1.14821127122466    -0.979094481808448
4930548J01Rik    4930548J01Rik    2.62    1.17    0.348294761    0.192603176    0.674742    -1.1623762778272    -0.851342384439105
4930548K13Rik    4930548K13Rik    3.81    1.27    0.182961691    0.044258489    0.794619    -1.58420557780721    -2.02314503963146
4930549C15Rik    4930549C15Rik    2.35    0.19    0.129952029    0.021708896    0.16733    -3.62162999561727    -2.52770893750424
4930549G23Rik    4930549G23Rik    43.53    79.99    2.961145554    2.795753484    0.728536    0.877794525386217    -0.0828894385196899
4930550C14Rik    4930550C14Rik    6.97    14.16    0.824628875    0.888145267    0.687539    1.02248561433103    0.10692571579765
4930550C17Rik    4930550C17Rik    1.79    1.56    0.166610592    0.055586676    0.109445    -0.198294800008052    -1.56657902312792
4930550L24Rik    4930550L24Rik    2.76    3.03    0.032278498    0.102297137    0.745189    0.13460296419626    1.63413804368568
4930552N02Rik    4930552N02Rik    2.27    1.17    0.113342297    0.076737893    0.485456    -0.955586630205673    -0.556669267034422
4930552P12Rik    4930552P12Rik    3.03    3.91    0.265846955    0.167578745    0.321904    0.367743683948616    -0.662589901085546
4930553C11Rik    4930553C11Rik    1.9    1.07    0.927580313    0.722115506    0.749154    -0.827800051898296    -0.360800581619719
4930553E22Rik    4930553E22Rik    1.67    0.59    0.063476549    0.070863901    0.989059    -1.49948169788366    0.156492723437978
4930553J12Rik    4930553J12Rik    2.02    0.69    0.069979815    0.040079361    0.556965    -1.54831170599148    -0.788995073860645
4930553P18Rik    4930553P18Rik    8.15    17.77    0.163054379    0.139444964    0.625603    1.12447589480402    -0.224169209309749
4930554C24Rik    4930554C24Rik    2.66    0.98    0.047343923    0.03770468    0.65539    -1.43964346880298    -0.320826528024793
4930554G24Rik    4930554G24Rik    1.88    1.37    0.177086231    0.17174483    0.492135    -0.456271277743969    -0.0439334431452885
4930554H23Rik    4930554H23Rik    4.02    2.15    0.135012359    0.100310696    0.980742    -0.9025468113773    -0.424951253966396
4930554I06Rik    4930554I06Rik    32.07    62.7    0.221452327    0.400797684    0.217878    0.967219113442347    0.852973058117096
4930555B11Rik    4930555B11Rik    29.12    70.42    0.076225376    0.026247274    0.9068    1.27394581627781    -1.50296308993542
4930555B12Rik    4930555B12Rik    2.95    2.05    0    0    1    -0.524876428952155    0
4930555G01Rik    4930555G01Rik    0.08    0    1.132076865    0.530568728    0.148952    -6.33985000288462    -1.09191759418847
4930555G21Rik    4930555G21Rik    2.02    0.49    0.157909747    0    0.12329    -2.04127439206504    -7.31206380733276
4930555K05Rik    4930555K05Rik    1.96    0.29    0.060764477    0.046808438    0.972952    -2.75249847728386    -0.369512059548917
4930555K19Rik    4930555K19Rik    2.56    0.78    0.202184234    0.07174014    0.158852    -1.71331279945549    -1.48196485349837
4930556C24Rik    4930556C24Rik    2.95    1.66    0.164126368    0.055449569    0.755467    -0.829151847469631    -1.54853604263772
4930556G01Rik    4930556G01Rik    1.45    0.78    0.056949234    0.014289456    0.438648    -0.893653065924765    -1.92225251472863
4930556J02Rik    4930556J02Rik    1.71    0.88    0.126343939    0.037612664    0.881602    -0.957625835569    -1.7215842968834
4930556L07Rik    4930556L07Rik    3.28    1.17    0.201030419    0.207625905    0.542603    -1.4863945180172    0.0463457770986353
4930556M19Rik    4930556M19Rik    37.34    66.28    1.908250189    1.3517277    0.0060232    0.827834805302963    -0.497134708148122
4930556N09Rik    4930556N09Rik    8.68    9.28    0.098842926    0.03763121    0.493845    0.0964190176025754    -1.36989334836779
4930556N13Rik    4930556N13Rik    4.02    4.98    0.550356511    0.349612228    0.371958    0.308881074872227    -0.653109164683931
4930557F10Rik    4930557F10Rik    3.71    2.64    0.077839577    0.117930452    0.559598    -0.490723699530433    0.593126221737553
4930557J02Rik    4930557J02Rik    2.04    0.29    0.249332306    0.162743991    0.349349    -2.81018512412444    -0.612402522108422
4930557K07Rik    4930557K07Rik    2.99    3.22    1.117630483    1.761934843    0.210413    0.106880750263463    0.656245604688309
4930558C23Rik    4930558C23Rik    1.32    0.49    0.276522217    0.051172821    0.673736    -1.42783553693213    -2.41123292328522
4930558F17Rik    4930558F17Rik    0    0    0.258084011    0.23805084    0.523529    0    -0.116102509223503
4930558G05Rik    4930558G05Rik    1.67    0    0.058485174    0.187834963    0.470625    -10.7064960180612    1.66652386291684
4930558J18Rik    4930558J18Rik    28.58    49.42    0.200341982    0.142470756    0.966939    0.790067808172259    -0.488891322522957
4930558K02Rik    4930558K02Rik    24.55    47.17    0.176595276    0.178528628    0.992736    0.942118396630582    0.0156207106877155
4930559C10Rik    4930559C10Rik    1.57    1.27    0.025427548    0    0.373901    -0.305719150289238    -4.7239706699863
4930562C15Rik    4930562C15Rik    2.25    1.17    0.798921509    0.655011006    0.678152    -0.942824980952941    -0.286138425466671
4930562F07Rik    4930562F07Rik    2.94    4.64    0.720252873    0.724080956    0.779903    0.658128913283128    0.00763692191344056
4930563E18Rik    4930563E18Rik    27.36    45.02    0.279714952    0.217315182    0.961562    0.718477142741353    -0.362693448375189
4930563E22Rik    4930563E22Rik    38.27    74.42    0.353316502    0.220803529    0.106952    0.959458177864537    -0.675756339708463
4930563F08Rik    4930563F08Rik    1.96    0.59    0.097403485    0.049444187    0.527888    -1.73035950001462    -0.964021381995731
4930563H07Rik    4930563H07Rik    2.1    1.17    0.08079896    0.060821133    0.578486    -0.843335086171831    -0.403982405911368
4930563J15Rik    4930563J15Rik    1.93    6.2    0.233281302    0.133170901    0.436701    1.68315272519595    -0.804170003645585
4930563M20Rik    4930563M20Rik    1.51    0.78    0.552617675    0.538427063    0.849574    -0.95210920702285    -0.0374621004681559
4930563M21Rik    4930563M21Rik    1.63    0.1    0.201246142    0.030548234    0.0745407    -4.01332958396009    -2.68048102868549
4930564C03Rik    4930564C03Rik    0.74    0.29    0.333151076    0.217810009    0.325658    -1.34845438939755    -0.610821787151268
4930564D02Rik    4930564D02Rik    2.41    1.66    0.136126963    0.210954168    0.453121    -0.53757957764015    0.628240063488774
4930565D16Rik    4930565D16Rik    2.27    2.54    0.287609053    0.045798098    0.408993    0.162068669346467    -2.62459475342947
4930565N06Rik    4930565N06Rik    1.42    0.59    1.427654509    0.914303031    0.189619    -1.26567651906525    -0.642335708993809
4930567H12Rik    4930567H12Rik    2.33    1.47    0.210105747    0.210000688    0.467995    -0.664151757874036    -0.000718151105327802
4930567H17Rik    4930567H17Rik    0.23    0.1    0.040342875    0.094798714    0.170933    -1.19353755866426    1.21236757154255
4930567J20Rik    4930567J20Rik    3.09    2.83    0.158366158    0.078483993    0.237474    -0.126761904952476    -1.00360904464833
4930567K12Rik    4930567K12Rik    1.59    1.66    0.052513521    0.051784222    0.956752    0.0621182376313283    -0.019796705563925
4930567K20Rik    4930567K20Rik    1.94    1.17    0.07575419    0.055921163    0.930711    -0.729059042212449    -0.431280370167724
4930568D16Rik    4930568D16Rik    1.24    1.17    0.054352716    0.180255937    0.229966    -0.0837620396291416    1.71130223828368
4930568E12Rik    4930568E12Rik    1.4    0.88    0.566871466    0.424573126    0.536023    -0.669243031510404    -0.416157371353456
4930568G15Rik    4930568G15Rik    7.05    5.27    0.303900847    0.114816995    0.492394    -0.419751188526506    -1.39649318798338
4930570G19Rik    4930570G19Rik    39.19    60.91    0.246278766    0.201167577    0.289847    0.636180404605217    -0.290586718917371
4930571K23Rik    4930571K23Rik    2.23    1.27    0.226658507    0.289140714    0.420386    -0.811726483239182    0.349881385858522
4930571O06Rik    4930571O06Rik    2    0.1    2.163866675    1.999722882    0.935138    -4.30829396915395    -0.113756823265849
4930572K03Rik    4930572K03Rik    1.94    1.56    0.091251978    0.056894717    0.618476    -0.314329580735755    -0.67214813909526
4930572O03Rik    4930572O03Rik    0.54    0.39    0.223637372    0.090928853    0.825161    -0.468459986519463    -1.2890083177083
4930572O13Rik    4930572O13Rik    1.18    1.37    0.022101935    0.063337455    0.492545    0.215219606382069    1.47764517264767
4930573H18Rik    4930573H18Rik    1.01    0.1    1.461659909    0.913057812    0.810449    -3.32335579915122    -0.678237039269643
4930573O16Rik    4930573O16Rik    1.88    1.07    0.04060914    0.100422277    0.497951    -0.812541368772939    1.28540219396913
4930577N17Rik    4930577N17Rik    64.67    90.24    1.690688307    1.002448685    0.563555    0.480664136179679    -0.753496935742313
4930578E11Rik    4930578E11Rik    1.73    0.98    1.576290121    0.960248783    0.0196337    -0.8192806831474    -0.714466276959933
4930578G10Rik    4930578G10Rik    0    0    11.44995764    11.72469467    0.673273    0    0.0342051399276526
4930578I06Rik    4930578I06Rik    2.72    2.44    0.161680765    0.170709015    0.985124    -0.156664661468525    0.077922104996814
4930578L24Rik    4930578L24Rik    47    67.78    0.871813732    0.577188855    0.380875    0.528189469528665    -0.594132999683299
4930578M01Rik    4930578M01Rik    35.67    70.9    0.241594009    0.306381605    0.4649    0.991054314777845    0.34148690800461
4930578N18Rik    4930578N18Rik    3.53    3.32    0.066954706    0.133810161    0.162591    -0.0884590982568918    0.988283871279416
4930579D09Rik    4930579D09Rik    2.12    0.19    0.25162404    0.107233995    0.81135    -3.47310007749481    -1.22283823065614
4930579F01Rik    4930579F01Rik    1.59    1.76    0.137622653    0.133645796    0.593127    0.146461073500161    -0.0419938487685476
4930579G18Rik    4930579G18Rik    9.9    10.65    5.801714718    4.803745562    0.0755136    0.105342738697523    -0.272267968343097
4930579G24Rik    4930579G24Rik    116.08    216.33    13.07638569    13.45655471    0.98577    0.898108563845418    0.0413421310543196
4930579H20Rik    4930579H20Rik    2.85    3.42    0.222035298    0.165167278    0.924323    0.262950064829947    -0.424635740316609
4930579J19Rik    4930579J19Rik    9.88    12.31    1.411312784    1.486979748    0.705594    0.317218992761432    0.0752952541882927
4930579K19Rik    4930579K19Rik    49.04    91.12    0.226044049    0.087983837    0.0707359    0.893795182402847    -1.3513570088532
4930579P08Rik    4930579P08Rik    2.6    1.37    0.257911686    0.08094213    0.260427    -0.923837828163765    -1.65978278309802
4930581F22Rik    4930581F22Rik    65.54    94.35    3.297405808    3.333073912    0.899856    0.525640123481603    0.0155171806045546
4930583I09Rik    4930583I09Rik    5.98    4.59    0.161340623    0.164168046    0.521992    -0.381578285554984    0.0249105496803055
4930583K01Rik    4930583K01Rik    71.89    147.57    0.342420728    0.129769821    0.129716    1.03752616042814    -1.39294748462322
4930583P06Rik    4930583P06Rik    2.27    0.19    0.04509672    0.164681113    0.102057    -3.57168316267114    1.84567314549813
4930584F24Rik    4930584F24Rik    2.64    1.76    0.056624274    0.085202228    0.996014    -0.584689392335885    0.581048488632747
4930586N03Rik    4930586N03Rik    3.71    2.44    0.218837671    0.049136347    0.697381    -0.604335705916372    -2.13250983671684
4930587E11Rik    4930587E11Rik    1.53    0.49    0.089535063    0.080434973    0.430847    -1.64067935318509    -0.152828130351146
4930589L23Rik    4930589L23Rik    73.76    109.19    0.107401315    0.076736304    0.271096    0.565923827858345    -0.479721836938222
4930590A17Rik    4930590A17Rik    1.18    0.19    0.065127739    0.112535248    0.866044    -2.62836442136141    0.779812784447788
4930590J08Rik    4930590J08Rik    2.1    2.25    0.450983501    0.221350223    0.111799    0.0994898947811098    -1.02343625851732
4930590L20Rik    4930590L20Rik    1.51    1.56    1.662650485    0.974927497    0.708826    0.0469668768130798    -0.769506493588412
4930591A17Rik    4930591A17Rik    2.16    0.78    0.089947962    0.106711145    0.245927    -1.46830461871753    0.24405432013634
4930591E09Rik    4930591E09Rik    1.96    1.56    0.120334072    0    3.21e-06    -0.32911899821424    -6.92284092245138
4930592A05Rik    4930592A05Rik    9.67    8.2    0.380453934    0.391112382    0.981307    -0.237865237433932    0.0397583579507585
4930592C13Rik    4930592C13Rik    50.85    87.02    0.051760785    0.042571838    0.642504    0.775087450285867    -0.276070057805852
4930592I03Rik    4930592I03Rik    12    29.1    0.265756875    0.321356136    0.489565    1.27791410401945    0.273129991796379
4930593A02Rik    4930593A02Rik    80.9    100.3    0.035858046    0.195203668    0.125912    0.310106548953708    2.41230051801216
4930593C16Rik    4930593C16Rik    1.81    4.1    0.114392377    0.15092755    0.971887    1.17918919737705    0.396835586283802
4930594C11Rik    4930594C11Rik    1.11    1.47    0.315991389    0.317841091    0.66555    0.404938429865738    0.00839391982759019
4930594M22Rik    4930594M22Rik    13.92    18.85    0.348098196    0.220102048    0.385682    0.437378207660655    -0.65892051318364
4930594O21Rik    4930594O21Rik    2.44    5.44    0.321228149    0.088867719    0.278331    1.1563995332787    -1.84220764000482
4930595D18Rik    4930595D18Rik    2.41    1.17    0.285705151    0.162357382    0.609217    -1.04189057510131    -0.811536173971077
4930595M18Rik    4930595M18Rik    1.32    1.47    0.03836805    0.039572224    0.505869    0.155166780008002    0.0434671333341337
4930596D02Rik    4930596D02Rik    3.2    3.03    0.20461282    0.162726566    0.499626    -0.0787288247612523    -0.328641789556477
4930596I21Rik    4930596I21Rik    1.83    2.15    0.432421882    0.284574263    0.980546    0.232375733625724    -0.601906027790005
4930597A21Rik    4930597A21Rik    2.35    3.81    0.241767036    0.057646231    0.942261    0.696895069159147    -2.04946224018129
4930597G03Rik    4930597G03Rik    1.98    0.78    0.147013362    0.076400135    0.84926    -1.34283442674751    -0.935319434133208
4930598F16Rik    4930598F16Rik    1.75    1.66    0.176032584    0.033460947    0.420662    -0.0761270104711816    -2.36098066913436
4930599N23Rik    4930599N23Rik    42.25    82.62    2.622204309    1.728540131    0.307917    0.967523034283061    -0.600941687332036
4931402G19Rik    4931402G19Rik    1.26    0.78    0.413110991    0.404439595    0.844965    -0.69117382218624    -0.0305305056031138
4931403E22Rik    4931403E22Rik    1.69    1.56    0.514569184    0.397629609    0.232032    -0.115406122432074    -0.371117162016085
4931403G20Rik    4931403G20Rik    7.38    8.4    0.253691593    0.380888436    0.250091    0.186744776903266    0.584399895108613
4931406B18Rik    4931406B18Rik    2.1    1.27    1.6394519    1.113432198    0.157018    -0.725112131668087    -0.557784447170262
4931406C07Rik    4931406C07Rik    26.16    49.54    4.060675517    3.527070368    0.677341    0.92120530143698    -0.203195652847645
4931406H21Rik    4931406H21Rik    14.25    27.44    0.294941889    0.220868032    0.394309    0.945269899420153    -0.415612105939473
4931406P16Rik    4931406P16Rik    1.16    2.15    25.39631573    30.65456646    0.0639282    0.889639552557494    0.271473038272799
4931408C20Rik    4931408C20Rik    15.8    6.64    0.149513787    0.185831097    0.726869    -1.2505434616506    0.31183896032199
4931408D14Rik    4931408D14Rik    21.59    19.24    0.71928095    0.36845397    0.630044    -0.166246282877193    -0.96316511712945
4931414P19Rik    4931414P19Rik    9.13    6.06    0.948025862    0.407157985    0.0612067    -0.591217025991516    -1.21731972105722
4931417E11Rik    4931417E11Rik    2.27    0.69    0.169735258    0.15558836    0.496673    -1.71657009031863    -0.124784041697968
4931419H13Rik    4931419H13Rik    14.29    13.48    0.241497001    0.038603134    0.112922    -0.0841793538618951    -2.61428039753959
4931420L22Rik    4931420L22Rik    1.92    1.47    0.951715971    0.844747019    0.830516    -0.385060272410697    -0.171819986972639
4931422A03Rik    4931422A03Rik    22.08    21.58    1.526658641    0.639257246    0.302068    -0.0330437934705055    -1.25459862522889
4931423N10Rik    4931423N10Rik    1.57    0.49    0.192261913    0.197565713    0.967009    -1.6778882509795    0.0390591823163322
4931428F04Rik    4931428F04Rik    58.5    120.18    1.832960255    0.932918148    0.0204315    1.03867564033488    -0.97359435612459
4931428L18Rik    4931428L18Rik    1.71    1.85    1.696994906    1.136661352    0.280219    0.113465135381161    -0.577760956721412
4931429L15Rik    4931429L15Rik    1.92    1.47    0.841240737    0.562680314    0.760761    -0.385060272410697    -0.579355473008093
4931429P17Rik    4931429P17Rik    2.8    0.59    0.092375834    0.057650918    0.750606    -2.24471194789697    -0.670895534211699
4931430N09Rik    4931430N09Rik    2.41    0.98    0.193973325    0.088240931    0.752477    -1.29730660938329    -1.12749928760003
4931431B13Rik    4931431B13Rik    1.67    1.95    0.237636616    0    0.118374    0.223502044547838    -7.8986716144871
4931431C16Rik    4931431C16Rik    1.49    0.1    0.171652712    0.158387964    0.93192    -3.88385305953165    -0.11533030600851
4931440F15Rik    4931440F15Rik    3.44    1.56    0.430275253    0.115107003    0.193983    -1.14035735475907    -1.89315394412584
4931440J10Rik    4931440J10Rik    85.17    88.58    0.133098185    0.091743748    0.939082    0.0566349953586966    -0.5319677748888
4931440P22Rik    4931440P22Rik    42.21    96.69    4.749267713    3.846902282    0.549615    1.1957626019936    -0.303936660218931
4932411N23Rik    4932411N23Rik    1.53    1.27    0.727470154    0.570472923    0.433542    -0.268510252494829    -0.350184721519739
4932412D23Rik    4932412D23Rik    175.43    323.86    0.157463363    0.12096138    0.847761    0.884471040760938    -0.377724945632216
4932413F04Rik    4932413F04Rik    2.49    1.95    0.091966705    0.083397821    0.530316    -0.35251124363181    -0.139508371783628
4932414J04Rik    4932414J04Rik    0.7    0.78    0.421862786    0.157289685    0.300004    0.155908104131356    -1.41762235687503
4932414N04Rik    4932414N04Rik    0.78    0.39    0.600745109    0.357625145    0.181634    -0.998153940834627    -0.746675864177107
4932415M13Rik    4932415M13Rik    2.47    0.19    0.298988241    0.230360742    0.602031    -3.69345046729304    -0.374761866481407
4932429P05Rik    4932429P05Rik    1.18    1.66    0.051636976    0.02449291    0.743803    0.492043108565219    -1.04598054295496
4932435O22Rik    4932435O22Rik    10.93    11.43    0.743743605    0.58711189    0.401894    0.0645262290410122    -0.340653172216753
4932438A13Rik    4932438A13Rik    49.14    53.42    31.58529172    22.88415134    0.0818619    0.120479766091671    -0.46488673983091
4932438H23Rik    4932438H23Rik    20.93    30.27    0.419711063    0.321316089    0.363796    0.532295095788942    -0.384353550682655
4932441J04Rik    4932441J04Rik    75.08    112.02    0.264428301    0.402168853    0.506267    0.577249441655471    0.603061982378866
4932702P03Rik    4932702P03Rik    1.9    0.59    0.016135173    0.045014267    0.519509    -1.68552849647102    1.42512048914061
4933400A11Rik    4933400A11Rik    2.27    0.39    0.123380173    0.050207317    0.315213    -2.53808719339954    -1.28033465254189
4933400B14Rik    4933400B14Rik    2.25    3.71    0.086866706    0.106882643    0.978934    0.72124194424337    0.296074256035161
4933400C23Rik    4933400C23Rik    8.97    7.81    0.048722836    0.075737835    0.505679    -0.199761551128478    0.626029478311963
4933400F21Rik    4933400F21Rik    1.63    0.78    0.300644118    0.130888277    0.0606152    -1.0623623285699    -1.19353111524298
4933400L20Rik    4933400L20Rik    1.28    0.78    0.097875079    0.070415133    0.933298    -0.713876022199667    -0.469377125860326
4933401B06Rik    4933401B06Rik    0.78    0.98    0.124110797    0.171896967    0.423477    0.328930588077259    0.46670626235431
4933401D09Rik    4933401D09Rik    4.25    3.91    0.595829446    0.396246417    0.382691    -0.120264722906229    -0.587284509025693
4933401H06Rik    4933401H06Rik    2.35    3.42    0.090667683    0.17611176    0.344029    0.541143565114878    0.95017489504102
4933402C06Rik    4933402C06Rik    8.08    14.75    0.220652717    0.012097074    0.322851    0.868207022584226    -4.08098460476335
4933402D24Rik    4933402D24Rik    1.96    1.27    0.234322925    0.097744137    0.0853435    -0.62562550518719    -1.25287487894481
4933402E13Rik    4933402E13Rik    3.19    1.22    0.024485787    0.043698018    0.603282    -1.38594540829191    0.810517956536081
4933402J07Rik    4933402J07Rik    1.36    0.19    0.098070014    0.073432701    0.934092    -2.83302252346825    -0.412511866850638
4933402J10Rik    4933402J10Rik    2.49    0.88    0.158044459    0.087807651    0.729745    -1.49951109732042    -0.840674231437907
4933402J15Rik    4933402J15Rik    1.34    0.39    0.085710852    0.054918486    0.336037    -1.77806872459712    -0.632887260214587
4933402N03Rik    4933402N03Rik    1.65    0.1    0.289706158    0.171633657    0.903171    -4.03091292216146    -0.751847869641058
4933402N22Rik    4933402N22Rik    0.58    0.1    0.205266927    0.03659504    0.911136    -2.52418287065273    -2.4558982754202
4933403O08Rik    4933403O08Rik    1.75    0.39    0.121133683    0.16360464    0.433925    -2.16293857112621    0.430543870979843
4933404G15Rik    4933404G15Rik    1.26    1.95    0.155919841    0.091451886    0.237688    0.629645502280807    -0.763253122975861
4933404K08Rik    4933404K08Rik    1.73    1.37    2.12242491    1.877017797    0.490107    -0.336377153587413    -0.177182357292659
4933404K13Rik    4933404K13Rik    2.7    1.56    0.263437322    0.045199537    0.646321    -0.791023102531058    -2.51697551096048
4933404O12Rik    4933404O12Rik    10.44    20.9    1.159664289    0.948972514    0.620517    1.00131207465554    -0.288993069864802
4933405D12Rik    4933405D12Rik    21.2    22.27    6.11718123    3.513827427    0.325723    0.0710340238304221    -0.799648985616288
4933405E24Rik    4933405E24Rik    2.58    24.42    0.196573002    0.035333668    0.126585    3.2421202309922    -2.44300689577747
4933405L10Rik    4933405L10Rik    7.13    12.6    0.514780118    0.327808758    0.260017    0.821361919674075    -0.649507435509255
4933405O20Rik    4933405O20Rik    3.9    0.1    0.162627417    0.125134955    0.789179    -5.27141680027277    -0.375446366671797
4933406C10Rik    4933406C10Rik    101.27    112.41    0.74503468    0.376441718    0.111588    0.150562115058176    -0.982988806421505
4933406D12Rik    4933406D12Rik    1.09    0.49    0.112915335    0.017275232    0.411679    -1.15185617200891    -2.64000034605048
4933406F09Rik    4933406F09Rik    0.23    0.1    0.94494593    0.823061651    0.883223    -1.19353755866426    -0.199005447260619
4933406G16Rik    4933406G16Rik    2.06    1.76    0.213041694    0.11509559    0.334325    -0.226949595708048    -0.882578680966168
4933406I18Rik    4933406I18Rik    47.55    68.85    1.013213416    0.550860306    0.14264    0.534001927027889    -0.877986238842862
4933406J09Rik    4933406J09Rik    4.39    5.18    0.300016312    0.083753657    0.210381    0.238681049123539    -1.82849414344526
4933406J10Rik    4933406J10Rik    1.94    1.27    0.265430693    0.264732473    0.980354    -0.610836087708705    -0.0037857528435814
4933406K04Rik    4933406K04Rik    2.76    1.17    0.161372517    0.085730621    0.777285    -1.23744981208685    -0.904694119626141
4933406M09Rik    4933406M09Rik    1.69    4.3    0.168378855    0.193864292    0.866325    1.34679547153467    0.202215965430077
4933407E24Rik    4933407E24Rik    7.57    4.4    0.206978126    0.176074873    0.556639    -0.782652496478414    -0.232072294012016
4933407G14Rik    4933407G14Rik    3.16    10.55    0.503683906    0.312879777    0.609704    1.73892680044196    -0.685168000549682
4933407I05Rik    4933407I05Rik    3.59    5.18    0.237333871    0.047984468    0.0884428    0.528844930585422    -2.2825877188437
4933407K13Rik    4933407K13Rik    26.87    50.88    2.537494727    2.155712627    0.11092    0.9210770131819    -0.235139307100326
4933407L21Rik    4933407L21Rik    4.08    3.71    0.254112747    0.256978892    0.723621    -0.137114709560575    0.0161180415868327
4933408B17Rik    4933408B17Rik    1.51    1.47    0.717531834    0.498027124    0.369907    -0.0387064139099991    -0.525933842000022
4933408J17Rik    4933408J17Rik    21.2    40.04    0.87750353    0.725154066    0.715351    0.917345690232244    -0.274772410162418
4933408N05Rik    4933408N05Rik    8.87    5.37    3.307092435    2.164034811    0.119906    -0.723906022685946    -0.611609325144107
4933409F18Rik    4933409F18Rik    2.47    0.78    0.079861173    0.114284384    0.439955    -1.66170055718681    0.511678066938319
4933409G03Rik    4933409G03Rik    2.41    0.98    0.063014635    0.068558207    0.958946    -1.29730660938329    0.119818973634587
4933409K07Rik    4933409K07Rik    0    0    60.16693431    74.76820456    0.0649868    0    0.313449357957715
4933411E08Rik    4933411E08Rik    1.77    2.25    1.086219767    0.883843043    0.709124    0.346001844702241    -0.297150119453501
4933411G06Rik    4933411G06Rik    2.04    0.98    0.149661033    0.157503267    0.971599    -1.05695114081348    0.0732062506251316
4933411K16Rik    4933411K16Rik    2.47    2.93    0.606703515    0.244935111    0.186967    0.246297957360757    -1.30508992012825
4933412E12Rik    4933412E12Rik    30.99    44.73    2.778447785    2.993256325    0.360457    0.529425703652217    0.107399449685529
4933412E24Rik    4933412E24Rik    3.32    1.17    0.279038233    0.12463383    0.984345    -1.50387664700149    -1.15639881089649
4933412O06Rik    4933412O06Rik    9.84    22.17    0.254007178    0.111112824    0.28459    1.17179701436148    -1.18558654703574
4933413J09Rik    4933413J09Rik    2.8    0.78    0.991501554    0.590316649    0.14135    -1.84254752993253    -0.747138463219816
4933413L06Rik    4933413L06Rik    1.71    0.69    0.917872593    0.652163815    0.400169    -1.30808214410115    -0.492419968952579
4933415F23Rik    4933415F23Rik    2.29    3.03    0.168313313    0.095033899    0.497229    0.403816393479654    -0.818079758222041
4933416E03Rik    4933416E03Rik    3.01    2.44    0.044509979    0.044062128    0.989565    -0.302770412943524    -0.0142674760264105
4933416I08Rik    4933416I08Rik    0.99    1.37    0.025941357    0.23136719    0.211525    0.468271608592738    3.10851195176162
4933416M06Rik    4933416M06Rik    2.41    2.54    0.251707598    0.110588649    0.797897    0.0757647244508286    -1.17927876046547
4933416M07Rik    4933416M07Rik    1.77    1.17    0.223931557    0.311828575    0.515526    -0.596823136250699    0.475886220465183
4933416O17Rik    4933416O17Rik    3.4    0.98    0.082900447    0.036961747    0.197166    -1.7936339644886    -1.14413211026578
4933417A18Rik    4933417A18Rik    2.18    0.1    0.20802566    0.089055011    0.775869    -4.43256257188896    -1.21480159802622
4933417D19Rik    4933417D19Rik    8.46    22.66    0.896700802    1.163561969    0.845934    1.42131143708118    0.375480821628074
4933417E11Rik    4933417E11Rik    1.45    1.37    0.076667521    0.081539978    0.613984    -0.0818189482875184    0.0877816352087297
4933417G07Rik    4933417G07Rik    2.58    0.88    0.598033444    0.064261282    0.122537    -1.55071621717356    -3.19833731755194
4933417O13Rik    4933417O13Rik    2.89    1.76    0.264494027    0.188913169    0.582661    -0.715173699645841    -0.483339455474012
4933421I07Rik    4933421I07Rik    2.33    0.98    0.170802763    0.167949661    0.494834    -1.24862396290963    -0.0241597829397033
4933421O10Rik    4933421O10Rik    76.81    153.43    11.63519171    9.154198567    0.523287    0.998205164656587    -0.345955888540053
4933422A05Rik    4933422A05Rik    1.63    7.03    0.157988842    0.086578226    0.720323    2.10797311243162    -0.860281387530841
4933424G05Rik    4933424G05Rik    2.12    2.73    0.246819041    0.275825525    0.812357    0.364684693234731    0.159689934194464
4933424G06Rik    4933424G06Rik    2.23    1.07    0.366886339    0.173655967    0.110261    -1.05873203349388    -1.07474417237557
4933424L21Rik    4933424L21Rik    2.89    2.25    0.192229407    0.04432557    0.0045508    -0.361002552022894    -2.09191760221287
4933425B07Rik    4933425B07Rik    49.35    49.42    0.195818227    0.223196246    0.539851    0.00204488457801322    0.187898289097389
